scenario_type,condition,severity,strength,method,method_label,packets,candidate_recall,search_correct,search_accuracy,search_topology_mae_m,search_topology_p95_m,final_correct,final_accuracy,final_topology_mae_m,final_topology_p95_m,severe_error_rate,prediction_changes_vs_lda,beneficial_corrections,harmful_corrections,changed_but_still_wrong,correction_precision,mean_search_runtime_ms,p95_search_runtime_ms,mean_path_switches,mean_garbage_segments
diagnostic_group,detect_score_db,1_mild,validation_quartile,full_aco,Full ACO,25,1.0,25,1.0,0.0,0.0,25,1.0,0.0,0.0,0.0,0,0,0,0,,4.905416519999903,5.030366600000491,0.0,0.0
diagnostic_group,detect_score_db,2_moderate,validation_quartile,average_cost,Average cost,30,1.0,30,1.0,0.0,0.0,30,1.0,0.0,0.0,0.0,0,0,0,0,,0.001197366666853365,0.0014170000000035543,,
diagnostic_group,detect_score_db,2_moderate,validation_quartile,greedy_path,Greedy path,30,1.0,30,1.0,0.0,0.0,30,1.0,0.0,0.0,0.0,0,0,0,0,,0.08053070000026234,0.09158749999933491,0.0,0.0
diagnostic_group,detect_score_db,2_moderate,validation_quartile,no_pheromone,No pheromone,30,1.0,30,1.0,0.0,0.0,30,1.0,0.0,0.0,0.0,0,0,0,0,,4.6781555666669306,4.7757838500000815,0.0,0.0
diagnostic_group,detect_score_db,2_moderate,validation_quartile,full_aco,Full ACO,30,1.0,30,1.0,0.0,0.0,30,1.0,0.0,0.0,0.0,0,0,0,0,,4.894916633333679,5.015081100003016,0.0,0.0
diagnostic_group,detect_score_db,3_severe,validation_quartile,average_cost,Average cost,31,1.0,25,0.8064516129032258,0.9770967741935485,5.030000000000001,26,0.8387096774193549,0.9735483870967743,6.670000000000002,0.03225806451612903,1,1,0,0,1.0,0.001337354838884978,0.001603499999447422,,
diagnostic_group,detect_score_db,3_severe,validation_quartile,greedy_path,Greedy path,31,1.0,26,0.8387096774193549,0.867741935483871,5.030000000000001,27,0.8709677419354839,0.7583870967741936,5.030000000000001,0.03225806451612903,2,2,0,0,1.0,0.07756458064599495,0.09387500000102023,0.0,0.0
diagnostic_group,detect_score_db,3_severe,validation_quartile,no_pheromone,No pheromone,31,1.0,25,0.8064516129032258,1.082903225806452,6.670000000000002,26,0.8387096774193549,0.9735483870967743,6.670000000000002,0.03225806451612903,1,1,0,0,1.0,4.663600935483802,4.842395999997251,0.0,0.0
diagnostic_group,detect_score_db,3_severe,validation_quartile,full_aco,Full ACO,31,1.0,26,0.8387096774193549,0.867741935483871,5.030000000000001,26,0.8387096774193549,0.9735483870967743,6.670000000000002,0.03225806451612903,1,1,0,0,1.0,4.920904548387418,5.053708500000198,0.0,0.0
diagnostic_group,snr,0_cleanest,validation_quartile,average_cost,Average cost,23,1.0,22,0.9565217391304348,0.14260869565217396,0.0,23,1.0,0.0,0.0,0.0,0,0,0,0,,0.001460173913375476,0.003695800003811198,,
diagnostic_group,snr,0_cleanest,validation_quartile,greedy_path,Greedy path,23,1.0,23,1.0,0.0,0.0,23,1.0,0.0,0.0,0.0,0,0,0,0,,0.08003804347791658,0.09680769999675931,0.0,0.0
diagnostic_group,snr,0_cleanest,validation_quartile,no_pheromone,No pheromone,23,1.0,23,1.0,0.0,0.0,23,1.0,0.0,0.0,0.0,0,0,0,0,,4.664731913043565,4.827066299999672,0.0,0.0
diagnostic_group,snr,0_cleanest,validation_quartile,full_aco,Full ACO,23,1.0,23,1.0,0.0,0.0,23,1.0,0.0,0.0,0.0,0,0,0,0,,4.869164956521758,4.990942000004139,0.0,0.0
diagnostic_group,snr,2_moderate,validation_quartile,average_cost,Average cost,46,1.0,42,0.9130434782608695,0.36369565217391314,3.3625000000000007,46,1.0,0.0,0.0,0.0,0,0,0,0,,0.0012754347821750957,0.001530749997868952,,
diagnostic_group,snr,2_moderate,validation_quartile,greedy_path,Greedy path,46,1.0,44,0.9565217391304348,0.216304347826087,0.0,45,0.9782608695652174,0.14500000000000005,0.0,0.0,1,0,1,0,0.0,0.08062686956648073,0.09546900000323433,0.0,0.0
diagnostic_group,snr,2_moderate,validation_quartile,no_pheromone,No pheromone,46,1.0,43,0.9347826086956522,0.2900000000000001,2.460000000000001,46,1.0,0.0,0.0,0.0,0,0,0,0,,4.683731043477726,4.816322749999102,0.0,0.0
diagnostic_group,snr,2_moderate,validation_quartile,full_aco,Full ACO,46,1.0,44,0.9565217391304348,0.216304347826087,0.0,45,0.9782608695652174,0.14500000000000005,0.0,0.0,1,0,1,0,0.0,4.918643086957036,5.034406249999179,0.0,0.0
diagnostic_group,snr,3_severe,validation_quartile,average_cost,Average cost,59,1.0,50,0.847457627118644,0.8525423728813559,6.669999999999998,52,0.8813559322033898,0.6264406779661018,3.717999999999982,0.01694915254237288,1,1,0,0,1.0,0.0012979999999725743,0.001549400003142409,,
diagnostic_group,snr,3_severe,validation_quartile,greedy_path,Greedy path,59,1.0,50,0.847457627118644,0.8525423728813559,6.669999999999998,53,0.8983050847457628,0.5689830508474577,3.717999999999982,0.01694915254237288,4,3,1,0,0.75,0.0787274576273077,0.09554109999996285,0.0,0.0
diagnostic_group,snr,3_severe,validation_quartile,no_pheromone,No pheromone,59,1.0,51,0.864406779661017,0.7394915254237289,6.669999999999998,52,0.8813559322033898,0.6264406779661018,3.717999999999982,0.01694915254237288,1,1,0,0,1.0,4.677732406780133,4.8214875000013535,0.0,0.0
diagnostic_group,snr,3_severe,validation_quartile,full_aco,Full ACO,59,1.0,51,0.864406779661017,0.7394915254237289,6.669999999999998,52,0.8813559322033898,0.6820338983050849,6.670000000000002,0.01694915254237288,3,2,1,0,0.6666666666666666,4.896609406779988,5.026383399997769,0.0,0.0
diagnostic_group,segment_cost_std,0_cleanest,validation_quartile,average_cost,Average cost,26,1.0,23,0.8846153846153846,0.6434615384615385,3.3625000000000007,25,0.9615384615384616,0.38692307692307687,0.0,0.038461538461538464,0,0,0,0,,0.001206730769463495,0.0014477499998832855,,
diagnostic_group,segment_cost_std,0_cleanest,validation_quartile,greedy_path,Greedy path,26,1.0,24,0.9230769230769231,0.5173076923076922,2.5425000000000004,25,0.9615384615384616,0.38692307692307687,0.0,0.038461538461538464,0,0,0,0,,0.07569715384702337,0.09168700000294905,0.0,0.0
diagnostic_group,segment_cost_std,0_cleanest,validation_quartile,no_pheromone,No pheromone,26,1.0,24,0.9230769230769231,0.5173076923076922,2.5425000000000004,25,0.9615384615384616,0.38692307692307687,0.0,0.038461538461538464,0,0,0,0,,4.651206846154456,4.8062079999997565,0.0,0.0
diagnostic_group,segment_cost_std,0_cleanest,validation_quartile,full_aco,Full ACO,26,1.0,24,0.9230769230769231,0.5173076923076922,2.5425000000000004,25,0.9615384615384616,0.38692307692307687,0.0,0.038461538461538464,0,0,0,0,,4.906849423077867,5.033896000000482,0.0,0.0
diagnostic_group,segment_cost_std,1_mild,validation_quartile,average_cost,Average cost,33,1.0,29,0.8787878787878788,0.5103030303030303,3.3900000000000006,32,0.9696969696969697,0.10272727272727275,0.0,0.0,0,0,0,0,,0.001329575757128251,0.0018082000011077064,,
